name,gender,doj,notes
"Henry Jonathan ""Hank"" Pym",MALE,1963,Merged with Ultron in Rage of Ultron Vol. 1. A funeral was held.
Janet van Dyne,FEMALE,1963,Dies in Secret Invasion V1:I8. Actually was sent tto Microverse later recovered
"Anthony Edward ""Tony"" Stark",MALE,1963,"Death: ""Later while under the influence of Immortus Stark committed a number of horrible acts and was killed.'  This set up young Tony. Franklin Richards later brought him back"
Robert Bruce Banner,MALE,1963,"Dies in Ghosts of the Future arc. However ""he had actually used a hidden Pantheon base to survive"""
Thor Odinson,MALE,1963,Dies in Fear Itself brought back because that's kind of the whole point. Second death in Time Runs Out has not yet returned
Richard Milhouse Jones,MALE,1963,NA
Steven Rogers,MALE,1964,Dies at the end of Civil War. Later comes back.
Clinton Francis Barton,MALE,1965,Dies in exploding Kree ship in Averngers Vol. 1  Issue 502. Brought back by Scarlet Witch. Dies again in House of M Vol 1 Issue 7. Is later brought back.
Pietro Maximoff,MALE,1965,Dies in House of M Vol 1 Issue 7. Later comes back
Wanda Maximoff,FEMALE,1965,Dies in Uncanny_Avengers_Vol_1_14. Later comes back
Jacques Duquesne,MALE,1965,Dies in Avengers_Vol_1_130. Brought back by the Chaos King
Heracles,MALE,1967,NA
T'Challa,MALE,1968,NA
Victor Shade (alias),MALE,1968,Dies in Avengers_Vol_1_500. Is eventually rebuilt.
Dane Whitman,MALE,1969,NA
Natalia Alianovna Romanova,FEMALE,1973,Killed by The Hand. Later revived with The Stone of the Chaste.
Brandt,FEMALE,1973,"Dies in Silver_Surfer_Vol_3_3. Actually ""fragments of her essence were spread out all across the universe"""
Henry P. McCoy,MALE,1976,NA
Heather Douglas,FEMALE,1976,"Dies in Defenders_Vol_1_152. Later 'Obtained a new body.' Dies in Annihilation:_Conquest_Vol_1_3. Comes back as ""As before"" also was once named Madame MacEvil because LOL. "
Patsy Walker,FEMALE,1976,Died during time on Defenders. Eventually ressurected by villian Grim Reaper along with Mockingbird to fight the Avengers.
Matthew Liebowitz (birth name),MALE,1975,Died during Return_to_the_Old_West. Resurrected by She Hulk in negotiation with Time Variance Authority. As a time traveller he died in 1938. Did not return
Robert L. Frank Sr.,MALE,1978,Died in Vision_and_the_Scarlet_Witch_Vol_1_2. Did not return however he was eventually cloned but the clone was killed immediately.
Simon Williams,MALE,1979,Died in Avengers_Vol_1_9. Actually just in a death-like coma.
Yondu Udonta,MALE,1978,NA
Martinex T'Naga,MALE,1978,NA
Charlie-27,MALE,1978,NA
Nicholette Gold,FEMALE,1978,NA
Stakar,MALE,1978,NA
Vance Astrovik,MALE,1978,NA
Mar-Vell,MALE,1978,The bad penny of the Marvel universe. First killed in Secret invasion. Revived during the Chaos war. Died again during aformentioned chaos war. Resurrected by the Kree Empire using the�M'Kraan Crystal. Third death during Avengers vs. X-Men. Has not return
Carol Susan Jane Danvers,FEMALE,1979,NA
Samuel Thomas Wilson,MALE,1979,NA
Jocasta,FEMALE,1988,"From her article: Death1: ""Defeated Ultron and reversed the process leaving Jocasta a mindless husk."" Return 1: ""Ultron later revived Jocasta with a remote link activating the mental residue the Wasp left behind"" Death 2: ""Sacrificing herself to try to ki"
Greer Grant Nelson,FEMALE,1981,NA
Jennifer Walters,FEMALE,1982,Dies during Red Hulk Saga. Returns when Lyra infiltrates Intelligenica and finds her in statis
Monica Rambeau,FEMALE,1983,NA
Eros,MALE,1984,NA
James R. Rhodes,MALE,1984,NA
Barbara Barton (nee Morse),FEMALE,1984,Killed by Mephisto. After Secret Invasion it turns out she was actually being impersonated by a Skrull the whole time and was alive and well.
Moira Brandon,FEMALE,1993,Died in her second appearance earns honorary Avengers status doing so. Stays dead.
Benjamin Jacob Grimm,MALE,1986,Once killed during a battle with Doctor Doom.' Brought back by the FF when they literally went to Heaven to get him.
Bonita Juarez,FEMALE,1987,NA
Marc Spector,MALE,1988,NA but he he did die and return to get his powers prior to joining the Avengers.
John F. Walker,MALE,1989,NA
Jim Hammond (alias),MALE,1989,"Dies during New Invaders. Was ""was revived as a living weapon the Thinker intended to sell."" Prior to joining the avengers he had died like 2 times in the 40s. "
Miguel Santos,MALE,1991,NA: Has not died since joing the Avengers but prior to joining he fought the West Coast avengers and seemingly died. Later turned up under control of a villain
Julia Carpenter,FEMALE,1992,NA
X-51,MALE,1992,Died in Deathlok Vol 2 #5. JK that was actually just a Life Model Decoy
Christopher Powell,MALE,1993,NA
Namor McKenzie,MALE,1985,Namor was presumed killed in the battle with Atlantean Barbarians. Had actually survived and turned up in the South Pacific
Scott Edward Harris Lang,MALE,2003,Died in Avengers:_Disassembled. Was brought back in the Young Avengers: Children's Crusade arc because time travel but take my word for it it was actually kind of well done.
Anthony Ludgate Druid,MALE,1987,Shot with a Breathing gun and corpse dumped in trash. Revived by the Grim Reaper. Helped Avengers defeat the Reaper so his spirit could remain at peace. Later completely revived by the Chaos King.
Marrina Smallwood,FEMALE,1987,Killed by Namor with the Ebony Blade. Returned when The Master put her in a statis tube. Death 2 was when Namor mercy killed her. Returned to life a second time by the Chaos King.
Ravonna Lexus Renslayer,FEMALE,1988,Killed in Avengers_Vol_1_24. Revived by the Grandmaster. Died in Avengers:_Forever_Vol_1_3.
Rita DeMara,FEMALE,1988,Killed by Iron Man when he was controlled by Immortus. Revived during Chaos war.
Dennis Dunphy,MALE,1988,"Died in Captain_America_348. Actually ""Dunphy miraculously survived the crash and lived with an Inuit tribe."" Second death when killed by Sharon Carter.  "
,MALE,1989,Killed by Neut who was working for Immortus. Reborn into a new body.
Reed Richards,MALE,1989,NA
Susan Richards (nee Storm),MALE,1989,NA
Wendell Elvis Vaughn,MALE,1989,Killed by the Cosmic Assassin. Actually turned into a being composed of pure energy.
Ashley Crawford,FEMALE,1989,NA
,FEMALE,1989,Died in Great_Lakes_Avengers_Vol_1_1. Has not returned
DeMarr Davis,MALE,1989,Sacrificed self so that Mr. Immortal could stop the villain Maelstrom. Returned as the Angel of Death.
Val Ventura,MALE,1989,NA
Craig Hollis,MALE,1989,Christ; where to begin. His superpower is that he cannot die when he dies he immediately comes back. The Wikia inventories 24 deaths. These will be excluded from the analysis.
Gene Lorrene,MALE,2005,NA
Dorreen Green,FEMALE,2005,NA
,MALE,2005,Killed by Leather Boy
Doug Taggert,MALE,2005,Accidently killed by Zaran
,FEMALE,2005,NA
Wade Wilson,MALE,2007,Died during incursion. It's not ever particulalry clear if he ever joined an Avengers team besides one issue so his inclusion here is specious at best.
Greg Willis,MALE,2009,Died on Battleworld and came back prior to joining avengers
Circe,FEMALE,1990,NA
Peter Benjamin Parker,MALE,1990,Since joining the New Avengers: First death Killed by Morlun. Ressurected in a brand new body. Died in Amazing Spider-Man #700. Eventually mainfested in his body that Octavious stole and then took over again.
Walter Newell,MALE,1990,NA
Elvin Haliday,MALE,1900,NA
William Baker,MALE,1900,Died in Identity_Disc_Vol_1_1. Later was revealed to be alive and working along with the Vulture.
Crystal Amaquelin Maximoff,FEMALE,1992,NA
Eric Kevin Masterson,MALE,1992,Became posessed died to purge self of corruption. Revived as undead Avenger minion of the Grim Reaper. Returned to the spirit world by the Scarlet Witch. Has since stayed dead.
Phillip Javert,MALE,1992,NA
,FEMALE,1993,NA
,FEMALE,1993,Reduced her to a pile of bones and organsby Vargas. Brought back by Chaos King. Died second time in Chaos_War:_Dead_Avengers_Vol_1_3
Anthony Edward Stark,MALE,1996,Merged with 616 Tony Stark
"""Giulietta Nefaria""",FEMALE,1996,Whitney killed was a clone possibly this incarnation of Masque'
Vance Astrovik,MALE,1998,NA
Angelica Jones,FEMALE,1998,NA
Delroy Garrett Jr.,MALE,2000,NA
Maria de Guadalupe Santiago,FEMALE,2000,NA
Jonathan Hart,MALE,2001,First died in a zero energy explosion in space. Body was apparently reanimated by Scarlet Witch. Abruptly exploded killing Scott Lang as well. Second return in Marvel_Zombies_Supreme_Vol_1_2.
Kelsey Leigh Shorr,FEMALE,2004,NA
Carl Lucas,MALE,2005,NA
Veranke,FEMALE,2005,Killed by Norman Osbourne. Has not returned.
"James ""Logan"" Howlett",MALE,2005,Died in Death_of_Wolverine_Vol_1_4. Has not yet returned
Robert Reynolds,MALE,2005,Died during Seige. Brought back to life by the Apocalypse twins as a horseman of death in Uncanny_Avengers_Vol_1_9.
Maya Lopez,FEMALE,2005,"First death 'had been murdered in a fight with Elektra.' ""Revived by Elektra and the Hand with their dark magic."" Died in most recent run of Moon Knight has not yet returned."
Nathaniel Richards,MALE,2005,NA is actually Kang but let's just not go there.
Elijah Bradley,MALE,2005,NA
"William ""Billy"" Kaplan",MALE,2005,NA
"Dorrek VIII/Theodore ""Teddy"" Altman",MALE,2005,NA
Cassie Lang,FEMALE,2005,Dies in Young Avengers: The Childrens Crusade when she is killed by Doom. Eventually reborn years later.
"Katherine ""Kate"" Bishop",FEMALE,2005,NA
Alias: Jonas,MALE,2006,Dies in Young Avengers The Children's Crusade
